1,1,08:10-09:00
2,2,09:10-10:00
3,3,10:10-11:00
4,4,11:10-12:00
5,N,12:10-13:00
6,5,13:10-14:00
7,6,14:10-15:00
8,7,15:10-16:00
9,8,16:10-17:00
10,9,17:10-18:00
11,A,18:40-19:25
12,B,19:30-20:15
13,C,20:20-21:05
14,D,21:10-21:55
15,1,08:00-08:45
16,2,08:50-09:35
16,3,09:40-10:25
17,4,10:30-11:15
18,5,11:20-12:05
19,N,12:05-12:50
20,6,12:50-13:35
21,7,13:40-14:25
22,8,14:30-15:15
23,9,15:20-16:05
24,A,16:10-16:55
25,B,17:00-17:45
26,C,17:50-18:35
27,D,18:40-19:25
28,E,19:30-20:15
29,F,20:20-21:05
30,G,21:10-21:55
